Uniq Id,Product Name,List Price,Brand,Category,Position X,position Y
803f609c9e13907a0424573553a81102,ENFORCER,22.45,ENFORCER,insect_and_pest_control,0,0
589267ee1eade4d5e35335a4b972e1cc,10Pcs Non-Toxic Environment-Friendly Electronic Plug In Ultrasonic Pest Repeller Home Indoor Mosquito Killer Mouse Mice Reject-For Rodents.Rat.Mouse.Spider.Mosquito and Insect,25.99,Fosa,insect_and_pest_control,0,1
bafbe248a67be1ebd53c4046b36eac41,Irri-Tape. 25 Ft,9.13,Bird-X,insect_and_pest_control,0,2
fa10d35f27bae3ae78edb366e98360e2,Deadline Ready-to-Use Liquid Slug and Snail Killer. 32 oz,7.4,Deadline,insect_and_pest_control,0,3
7a5ac49003d2bb8bbc6cbee8f0f7d6eb,Hot Shot Fogger with Odor Neutralizer. Insect Killer. 6/2-Ounce,8.84,Hot Shot,insect_and_pest_control,0,4
ce8221fea37047f60a31e1dd3d88dba2,ZEP Enforcer Overnite Flea Trap ONFT1,14.97,ZEP Enforcer,insect_and_pest_control,0,5
863cd07efebacc7c80d53daaf6782dd5,EcoSMART Organic Bed Bug Killer Spray for Mattresses and Carpets. 14 oz,19.75,Generic,insect_and_pest_control,1,0
126c010e3c3819cda181ca43d8683dfe,Martins Surrender Fire Ant Killer,22.04,Control Solutions,insect_and_pest_control,1,1
40cff038844b2ce85578165f3e238407,Tomcat Glue Boards with Eugenol for Enhanced Stickiness,2.74,TOMCAT,insect_and_pest_control,1,2
038f9bb947edccb8f04424f3759c194a,Silverfish Paks DEK1002 (Pack of 2). Boric Acid 20.0% By DEKKO,24.49,DEKKO,insect_and_pest_control,1,3
4bce7f02bd2ac371b5d94d5473cfa1dd,Spectracide Terminate Termite Detection & Killing Stakes. 15-Count,57.34,Spectracide,insect_and_pest_control,1,4
7de438d839a3b59e7f74a55ea9baf811,Safer Houseplant Sticky Stakes. pack of 7,8.35,Safer,insect_and_pest_control,1,5
698f6a351e2ebc7a130e57a513f2e082,Combat Max Ant Killing Gel .95 oz. Carded Pack,9.15,Combat,insect_and_pest_control,2,0
90688f05b2466acb632ce948c6fff0c8,Harris Bed Bug Spray. 8 Oz. Pump,3.99,Harris,insect_and_pest_control,2,1
1d03eee3f5a74e2c9286096548cec86d,Live Beneficial Nematodes-10 Million-Dr.Pyes Scanmask- Kills 230 Different Bugs,17.99,Hirts Gardens,insect_and_pest_control,2,2
1493b4b82071e258a648bdb49b723c4c,Sevin Ready to Use Spray Garden Insect Killer. 32 fl oz,7.22,Sevin,insect_and_pest_control,2,3
ef4c36413fd065a28f4a2deb63623611,Ortho Orthene Fireant Killer Twin Pack 12oz,19.98,ORTHO,insect_and_pest_control,2,4
2c2e95948270abc4fc55f95399f0a563,Rescue Yellow Jacket Disposable Trap.1 unit,5.9,Rescue,insect_and_pest_control,2,5
d5e9718d3a4054773b24082bf15fb27e,3-in-1 32 oz. Ready-to-Use Garden Spray,14.09,Safer,insect_and_pest_control,3,0
71e548ad79996845fcb946ed4ce3977d,BugzOff Electric Fly Swatter Racket Best Zapper for Flies Swat Insect. Wasp. Bug,14.99,Bugzoff,insect_and_pest_control,3,1
7794076a134f92037822ab479403ec13,Safer Brand Ant and Crawling Insect Killer,6.98,Safer,insect_and_pest_control,3,2
b7587539957379e77d80c6422a9ec85a,Everyday Bug Catcher Chemical-Free Insect Control Harmless Spider Catcher Critter Catcher,14.95,BestWin,insect_and_pest_control,3,3
c1aeff54404fa3bc98c8d04077dc98b1,TERRO Ant Killer Spray,11.41,Terro,insect_and_pest_control,3,4
ff6fb38535138d868973220e2dbbbe1d,Hot Shot Bedbug & Flea Fogger. Insect Killer. 3/2-Ounce,9.97,Hot Shot,insect_and_pest_control,3,5
a036affd31b205893d3797328877b7ac,Hi-Yield Fire Ant Control with Acephate Insect Killer 8 oz. - Case Of: 1,16.14,Hi-Yield,insect_and_pest_control,4,0
b2a8dbcee62346dd367ffaf0b50196fa,Spectracide Terminate Termite Detection & Killing Stakes. Refill. 5-Count,16.17,Spectracide,insect_and_pest_control,4,1
0399172ec0dd1738716c1fe531bb83a3,Yard and Garden Insect Killer 32 fl oz Ready-To-Use Spray,15.78,Safer,insect_and_pest_control,4,2
a249f7cfcc6bdb40ff09afa0814a2b72,Sterling International YJTD-DB12-W Yellow Jacket Trap. Disposable,77.59,STERLING INTERNATIONAL,insect_and_pest_control,4,3
a31b6c7e9a9cb17561db5b6cc22a39e8,Eliminator Indoor Fogger Insect Killer. 4 Pack. 2oz,5.46,Eliminator,insect_and_pest_control,4,4
ae48c2ce0c7ee3e47fc5ad7fb40ea2ad,Telescopic Fly Swatter Plastic Long Handle Flyswatter Flapper Insect Killer Color:Red,5.19,Generic,insect_and_pest_control,4,5
765dce83bfa4195253229e95b47b097e,Just Scentsational Garlic Scentry By Bare Ground,28.14,JUST SCENTSATIONAL GARLIC SCENTRY BY BARE GROUND,insect_and_pest_control,5,0
a53d9d7bfac9d293761adc0faf0213e1,10packs camping mosquito repellent bracelet. effective insect eviction bracelet and American quality mosquito killer safe Mosquito lamp,25.89,Topboutique,insect_and_pest_control,5,1
2391e6ebc97d95859278ba6523fc1f2b,Bird X Bird Spikes. Polycarbonate. Regular Width. 25 Ft.,51.2,Bird-X. Inc.,insect_and_pest_control,5,2
1fcfd83f77b043d992c98108390c4664,Home Innovations Ultrasonic Plug In Pest Repeller - 2 Packs of 2 + FREE SHIPPING!,6.99,Home Innovations,insect_and_pest_control,5,3
6eb242226e39b59c457275f35255fb98,FabriClear Bed Bug Spray. 16 oz. w/ Bonus Travel Spray 2 oz.,24.99,FabriClear,insect_and_pest_control,5,4
5906eb62aacfe18d76d602fd80bafcb4,Victor 0625 The Black Box Gopher Trap,20.28,Victor,insect_and_pest_control,5,5
eaf3403ec650aa4a050068a3d2f9ba0c,Spectracide Immunox Fungus Plus Insect Control for Lawns. Ready-to-Spray. 32-fl oz,13.51,Spectracide,insect_and_pest_control,6,0
cc553e09b4c49cfb2b8eff51cbc82309,Black Flag 190256 64 oz. Fogging Insecticide,17.99,Black Flag,insect_and_pest_control,6,1
d824de7aaceea6d12334a9f5f09d5f68,Crosman Premier 177 Caliber Match Grade Pellets 500ct LM77,7.35,Crosman,insect_and_pest_control,6,2
43508a0dd992f5da3cc53b6641d26ed1,Havahart Critter Ridder 1.25 lb. Animal Repellent Granular Shaker,17.69,Havahart,insect_and_pest_control,6,3
9659f49ea65f8fa639895b740591e09f,Raid Max Ant and Roach. 14.5 oz. 1 ct,7.85,Raid,insect_and_pest_control,6,4
25bbc2aa129e04baaf6f7d42ae652a51,Hot Shot Bed Bug Killer Dust with Diatomaceous Earth. 8-oz,6.92,Hot Shot,insect_and_pest_control,6,5
f8d014128f19f1a64741ac96f183027c,Havahart Critter Ridder 5 lb Animal Repellent Granular Shaker,37.81,Havahart,insect_and_pest_control,7,0
2cbec9b451533c6389269557ccc2b2bb,Newhouse Lighting Outdoor Weatherproof S14 Incandescent Replacement String Light Bulbs | Standard Base | 18 Pack (15+3 Free!),10.57,Newhouse Lighting,outdoor_decor,0,0
dc684d97cc60ad657dcb85e4a696df53,VIVOHOME Outdoor Solar Powered Flower Bird Bath Water Fountain Pump,9.59,VIVOHOME,outdoor_decor,0,1
20c179c4af5346eb7760bffd4519bc66,Coccyx Orthopedic Gel-enhanced Comfort Memory Foam Seat Cushion,19.99,EZGO,outdoor_decor,0,2
4eb6c78a8daadf0316cf3e2ffdbb8d78,Premium Comfy Orthopedic Gel Memory Foam Seat Cushion Pad For Office Chair . Car . Wheelchair & More With Chair Ties,14.95,5 Star Super Deals,outdoor_decor,0,3
429c76428531bd733edf16ef84c55896,Carolines Treasures Dachshund Checkerboard Square Decorative Outdoor Pillow,28.34,Carolines Treasures,outdoor_decor,0,4
fcc0922d9d1e161334ff56a14964a30d,Happy Campers Glamping Trailer Fabric Decorative Pillow,26.05,Carolines Treasures,outdoor_decor,0,5
458250df2fed6e4f588f86398d593656,Panda Bears by Daphne Baxter Fabric Decorative Pillow,25.42,Carolines Treasures,outdoor_decor,1,0
232aa93b9d02dbbeacedea7abcfa53d8,Christmas Tree and Westie Fabric Decorative Pillow,25.7,Carolines Treasures,outdoor_decor,1,1
83c563ef6b9a19aa56957f6ef0d42375,Maltese Hearts Love and Valentines Day Portrait Fabric Decorative Pillow,29.92,Carolines Treasures,outdoor_decor,1,2
7c80c71d798b0dd031f49c09a340b3ab,Carolines Treasures Christmas Vintage Glamping Trailer Square Decorative Outdoor Pillow,28.34,Carolines Treasures,outdoor_decor,1,3
237868bfac5eec4d721ea4f1114e9aeb,Boston Terrier Welcome Canvas Fabric Decorative Pillow,19.4,Carolines Treasures,outdoor_decor,1,4
ed5bf072d20e1ff88f7fa49ed921a7fa,Rooster and Hens Chickens in the Barn Fabric Decorative Pillow,25.42,Carolines Treasures,outdoor_decor,1,5
3edcae3fff9c4091f00e5f1b28452af8,Halloween Pomeranian Fabric Decorative Pillow,25.54,Carolines Treasures,outdoor_decor,2,0
d017f80bd69f2772483491a92b500815,Merchandise,35,ONLINE,outdoor_decor,2,1
557ab3b108e1aba9ad9aedb13b98cc7d,Koolscape 270 gal Liner Pond Kit with Solar Light,119.03,Koolatron,outdoor_decor,2,2
2b3420bdf286ce27963642a52c9532c4,Meigar 12S Fish Pond Liner Gardens Pools EPDM Boxed 45 Mil Liner for Pond. Waterfall. and Water Features,29.63,Meigar,outdoor_decor,2,3
c3233d88cc7f849357a2c6b6d5778174,32ft Fish Pond Liner PVC Membrane Reinforced Gardens Pools Landscaping,62.39,Aimeeli,outdoor_decor,2,4
902f05fe385285a8e01d32087e9aa34d,118 x 79 Fish Pond Liner Gardens Pools HDPE Membrane Reinforced Landscaping,23.34,Meigar,outdoor_decor,2,5
f7363ebee544e4cf3e086ee3ba774b03,Anjon LifeGuard 25 ft. x 25 ft. 45 Mil EPDM Pond Liner,567.33,LifeGuard Pond Liner,outdoor_decor,3,0
e92df851097b963f78e461636d7d0222,Savio Select 2000 Complete Water Garden and Pond Kit. with 15 x 20 Foot PVC Liner,615,Half Off Ponds,outdoor_decor,3,1
04346718e44114fa78a2beeb35949594,Pond Skins Pond Liner 13 x 20 ft.,115,aquanique,outdoor_decor,3,2
10910847743fc6f517550098ed7622e2,Multi-sizes HDPE Durable Fish Pond Liner Gardens Pools Membrane Reinforced Landscaping Underlayment,16,HALLOLURE,outdoor_decor,3,3
68eb70ae35b603bc11d4b43cfb95a755,TLC Products 30015 PondPerfect Gallon,38.11,TLC Products,outdoor_decor,3,4
e837221eb9b7067187a52a5eec54f1be,"Half Off Ponds - MDS6 - Savio Signature 4100 Complete Water Garden and Pond Kit with Compact Skimmer. 22"" Waterfall. 4.100 GPH Pump. 15 Foot x 20 Foot EPDM Liner",901.55,Half Off Ponds,outdoor_decor,3,5
3188e502dd2ece49e6160a7aafdd78d1,Costway Set of 4 Outdoor Patio Folding Chairs Camping Deck Garden Pool Beach Furniture,69.99,Costway,garden_furniture,0,0
74a607b4a979fd7b7c568702d7ed6ce4,Tree Hugger Set of 2 Hammock Straps,22.2,Levi Innovations Inc.,garden_furniture,0,1
