Uniq Id;Product Name;List Price;Brand;Category;Position x;Position y
627d4db77db4c6c8e304b81ce12e2b69;South Africa Full Zipper Bike Short Sleeve Cycling Jersey for Men - Size XS;46.99;ScudoPro;Mens Clothing;0;0
789b6fa718e4b97073557c73bba44f8a;Augusta Sportswear Color Block Digi Camo Jersey 1782;16.46;Augusta Sportswear;Mens Clothing;0;1
4095bd089efe7d6f2755a8d5e0bf1d44;Clam Outdoors 10677 IceArmor Hoodie Full Fleece Facemask - Black/Grey;24.94;Clam Outdoors;Mens Clothing;0;2
12fda7eea00c06b58ec1acd208fdf5fd;Columbia Mens Steens Mountain Full Zip 2.0 Jacket;46.01;Columbia;Mens Clothing;0;3
d554a48cc48262cb1f7d6f74eac557e3;Maximos Mens Military Fishing Hunting Utility Tactical Vest FV-126;34.95;Maximos USA;Mens Clothing;0;4
f8cfd6157d20c18bad786b1668ae09a6;Men Thermal Cycling Pants Bicycle Outdoor Sportswear Bike Racing Cycle Trousers;27.21;CBD;Mens Clothing;0;5
1a3dc23500c5bd6f230959b7afd1154e;Cliff Keen The Force Compression Gear Wrestling Tights - 2XL - Navy;25;Cliff Keen;Mens Clothing;1;0
8f5bfaeca6f1e78021dc0ade8a639afd;Ultralight Mens Bike Short Black SM;29.99;Bellwether;Mens Clothing;1;1
29a8adf052f0bfcbdfc875aee7e58dc0;Bike Performance Ellite Adult compression shorts Proflex Max cup BACO31 NEW XL;9.99;Bike;Mens Clothing;1;2
db93cb77b28544f3d9b7f4df7e63560d;Champro Mens Captain Baseball Jersey;18.57;Champro;Mens Clothing;1;3
ad9a9fa0a70cc80bd090f864745d8927;Jerzees Dri-Power Sport Performance Sport Shirt;11.93;Artix;Mens Clothing;1;4
35342a565cf26ec688b1fe307f1bf52f;Princeton University Tigers Cycling Jersey;89.99;Adrenaline Promotions;Mens Clothing;1;5
7b975195af32fff46faf6e90107c3401;TopTie Mens Tank Top, Reversible Mesh Tank, Basketball Jerseys, Lacrosse Jersey-Red/White-XL;14.07;Toptie;Mens Clothing;2;0
f2c868ef88ffed071b9a50f3d02f381d;Men Long Sleeve Compression Shirt Base Layer Tops Sport Fitness Shirt GYM Tight;12.01;Jeteven;Mens Clothing;2;1
a4b1c0c1975566fd9c78f25170e710f2;Augusta SportswearWinning Streak Sport Shirt 5091;18.84;Augusta Sportswear;Mens Clothing;2;2
7f9f06dc4043541d22fe2c80bee5546d;Mens Popeye Strong to da Finish Cycling Jersey - PPSF-M;89.95;Brainstorm Gear;Mens Clothing;2;3
e5f4f0ae03ecbbd0eb04ee1b0d7ad11e;Augusta Youth Moisture Wicking & Anti-Microbial Gameday Crew 1021;16.4;Augusta Sportswear;Mens Clothing;2;4
0ca2b35d58263114ba9e3bd1ff107f20;Alleson Adult Dazzle Football Pant S-XL-Color:Navy,Size:MED;25.99;Alleson;Mens Clothing;2;5
e666cffc55f5eb2de3cb3a73c92cc79a;Venum Giant Muay Thai Shorts;37.54;Venum;Mens Clothing;3;0
201d4c3d340d4d653c094222dc41eb6f;Lixada Men Cycling Underwear Gel 3D Padded Bike Bicycle Shorts Pants;13.3;Lixada;Mens Clothing;3;1
ec3b98c3eb70d939db81bd6c21890bfc;Augusta Sportswear Nitro Jersey 1535;16.79;Augusta Sportswear;Mens Clothing;3;2
c9f731e1f0c85cbc4eb5ac8fa54dc32e;Youth 6-Panel Short Small;29.44;Pace Sportswear;Mens Clothing;3;3
30cb946f46ea91e6b57a0e503e45b09f;dinamik evo pro mens comfortable cycling bib shorts premium 3d gel padded pants breathable black bike compression cyclewear (x-large);88;dinamik;Mens Clothing;3;4
ce09e9519ac6b364bd1291809724e10d;augusta youth wicking long-sleeve t-shirt 789;23.93;Augusta Sportswear;Mens Clothing;3;5
98c1044ba23c7f085d132de0e63069d3;Alkali Hockey Rpd Comp+ Big Kids Style : 1502240;48.59;Alkali Hockey;Mens Clothing;4;0
e96614c356fec30e687fac226cc0ab46;Adidas Tastigo 19 Shorts Adidas - Ships Directly From Adidas;56.05;adidas;Mens Clothing;4;1
32a394174350a490aca7455e55bed76a;REALTOO Authorized Men Polyester Bike Underwear Cycling Shorts;9.79;Unique Bargains;Mens Clothing;4;2
275054694544258fdb4010db3136e07e;Adidas Mens Soccer Tastigo 17 Shorts Adidas - Ships Directly From Adidas;25;adidas;Mens Clothing;4;3
5ef4579b3b8939ed666aa971678e95fd;Plus Size Casual Men Compression Long Sleeve Workout Shirt Tops Gym Clothes Sportswear;16.73;NEWTECHNOLOGYY;Mens Clothing;4;4
0126c413a26c31a8c84f0679211782ef;9736 top score short - youth white/red m;17.45;Augusta Sportswear;Mens Clothing;4;5
4e9982ecdb5f02c4cef7a099b7205cbd;Cuba ScudoPro Short Sleeve Cycling Jersey for Women - Size XS;42.99;ScudoPro;Mens Clothing;5;0
3747f5d31f36d782173bd86b3208417f;Columbia Mens Bahama II Long-Sleeve Shirt - FOSSIL - 3XL 7048;48.79;Columbia;Mens Clothing;5;1
4604881c21cb1e783fe53190f096603f;Jack Wolfskin Mens Thunder Bay Vest;89.95;Jack Wolfskin;Mens Clothing;5;2
2741f5a6b89388069b2a771bf3c2f2c1;SwissTech Mens Double Cargo Snow Pant, up to Size 5XL;27.47;SwissTech;Mens Clothing;5;3
a62f5228a5030fd992b0a9029d4a7ab3;Eddie Bauer Mens Cloud Layer Pro Full-Zip Jacket;48;Eddie Bauer;Mens Clothing;5;4
2c0a05ce80e3ffcc5521d53f50ff0f4f;Eddie Bauer Mens Cloud Layer Pro Vest;42;Eddie Bauer First Ascent;Mens Clothing;5;5
3e32839befac7db1d2750cb32a7e8736;Jack Wolfskin Mens Helium High Jacket;169.95;Jack Wolfskin;Mens Clothing;6;0
6126158cabd060f2b4ba9b233dd28dd3;Eddie Bauer Mens Superior Down Bomber Jacket;197.4;Eddie Bauer;Mens Clothing;6;1
